raw_name,accepted_name,gbif_key,genus,family,order,class,phylum,kingdom,status,match_type,confidence,ok,reason,retrieved_at
Alnus firmifolia,Alnus jorullensis,5939252,Alnus,Betulaceae,Fagales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Aloe arborescens,Aloe arborescens,2777537,Aloe,Asphodelaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aloe barbadensis,Aloe vera,2777724,Aloe,Asphodelaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Aloe ferox,Aloe ferox,2777789,Aloe,Asphodelaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aloe spp,,,Aloe,Asphodelaceae,Asparagales,,,Plantae,,HIGHERRANK,0,False,no_match:HIGHERRANK|genus_fallback,2026-08-20
Alpinia calcarata,Alpinia calcarata,5302054,Alpinia,Zingiberaceae,Zingiberales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Alpinia galanga,Alpinia galanga,5302225,Alpinia,Zingiberaceae,Zingiberales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Alpinia officinarum,Alpinia officinarum,5302199,Alpinia,Zingiberaceae,Zingiberales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Alstonia scholaris,Alstonia scholaris,5414410,Alstonia,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Althaea officinalis,Althaea officinalis,3152520,Althaea,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Althaea rosea,Althaea rosea,7786241,Althaea,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Amaranthus caudatus,Amaranthus caudatus,6109611,Amaranthus,Amaranthaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Amaranthus hypochondriacus,Amaranthus hypochondriacus,9080185,Amaranthus,Amaranthaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Amburana cearensis,Amburana cearensis,2945821,Amburana,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Amomum aromaticum,Wurfbainia aromatica,10958923,Wurfbainia,Zingiberaceae,Zingiberales,Liliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Amomum subulatum,Amomum subulatum,5301632,Amomum,Zingiberaceae,Zingiberales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Amorphophallus campanulatus,Amorphophallus paeoniifolius,2871533,Amorphophallus,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Amorphophallus konjac,Amorphophallus konjac,2871520,Amorphophallus,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Amyris balsamifera,Amyris balsamifera,5421190,Amyris,Rutaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Anacardium occidentale,Anacardium occidentale,5421368,Anacardium,Anacardiaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Anacyclus pyrethrum,Anacyclus pyrethrum,3148578,Anacyclus,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Andrographis paniculata,Andrographis paniculata,3173178,Andrographis,Acanthaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Anethum graveolens,Anethum graveolens,3034646,Anethum,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
