raw_name,accepted_name,gbif_key,genus,family,order,class,phylum,kingdom,status,match_type,confidence,ok,reason,retrieved_at
Acca sellowiana,Feijoa sellowiana,3181977,Feijoa,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Acer campestre,Acer campestre,3189863,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Acer mono,Acer pictum,6359081,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Acer nikoense,Acer nikoense,11048317,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Acer palmatum,Acer palmatum,3189882,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Acer pseudoplatanus,Acer pseudoplatanus,3189870,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Acer rubrum,Acer rubrum,3189883,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Acer saccharum,Acer saccharum,3189859,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Acer tegmentosum,Acer tegmentosum,7263128,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Achillea asiatica,Achillea asiatica,3120173,Achillea,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Achillea millefolium,Achillea millefolium,3120060,Achillea,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Achras sapota,Manilkara zapota,2885158,Manilkara,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Achyranthes bidentata,Achyranthes bidentata,3085175,Achyranthes,Amaranthaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Achyranthes fauriei,Achyranthes bidentata,3085175,Achyranthes,Amaranthaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Achyranthes japonica,Achyranthes bidentata,3676467,Achyranthes,Amaranthaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Achyrocline satureioides,Achyrocline satureioides,3139534,Achyrocline,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Acinos alpinus,Clinopodium alpinum,7307319,Clinopodium,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Acmella oleracea,Acmella oleracea,5386764,Acmella,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aconitum koreanum,Aconitum koreanum,7669905,Aconitum,Ranunculaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Acorus calamus,Acorus calamus,2873769,Acorus,Acoraceae,Acorales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
