refNo,annexNo,inciName,chemicalName,innName,phEurName,casNo,ecNo,chemicalDescription,identifiedIngredient,functionName,cosmeticRestriction,maximumConcentration,productTypeBodyParts,otherRestrictions,otherRegulations,classificationInformation,note,colour,perfuming,publicationDate,currentVersion
47,V,"Benzenecarboximidamide, 4,4'-(1,6-hexanediylbis(oxy))bis-, and its salts (including isothionate and p-hydroxybenzoate)",,,,3811-75-4 / 659-40-5 / 93841-83-9 / -,- / 211-533-5 / 299-055-3 / -,,34259 | 34260 | 34261 | 56372,,,0.1%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
48,V,"Glutaraldehyde (Pentane-1,5-dial)",,,,111-30-8,203-856-5,,34020,,,0.1%,,<empty> | <empty> | <empty> | <empty>,,[],V (9) Only if the concentration exceeds 0.05%,,N,2009-12-22T00:00:00.000+0100,1
49,V,"5-Ethyl-3,7-dioxa-1-azabicyclo[3.3.0] octane","5-Ethyl-3,7-dioxa-1-azabicyclo[3.3.0] octane",,,7747-35-5,231-810-4,,31546,,,0.3%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
50,V,"3-(p-Chlorophenoxy)-propane-1,2-diol",,chlorphenesin,,104-29-0,203-192-6,,32667,,,0.3%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
51,V,Sodium hydroxymethylamino acetate,Sodium N-(hydroxymethyl)glycinate /Sodium hydroxymethylamino acetate,,,70161-44-3,274-357-8,,37892 | 100283,,,0.5%,,<empty> | <empty> | <empty> | <empty>,,[],,,N,2021-11-03T00:00:00.000+0100,1
52,V,Silver chloride deposited on titanium dioxide,,,,7783-90-6,232-033-3,,37704,,,0.004% (as AgCl),,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
53,V,"Benzenemethanaminium, N,N-dimethyl-N-[2-[2-[4-(1,1,3,3,-tetramethylbutyl)phenoxy]ethoxy]ethyl]-, chloride",,,,121-54-0,204-479-9,,32132,,,0.1%,"a) Rinse-off products
b) Leave-on products other than oral products",<empty> | <empty> | <empty>,,[],,,N,2009-12-22T00:00:00.000+0100,1
54,V,"Benzalkonium chloride, bromide and saccharinate (10)",,,,8001-54-5/ 63449-41-2 / 91080-29-4 / 68989-01-5 / 68424-85-1 / 68391-01-5 / 61789-71-7 / 85409-22-9,264-151-6 / 293-522-5 / 273-545-7 / 270-325-2 / 269-919-4 / 263-080-8 / 287-089-1,,28316 | 32127 | 32129 | 32130 | 32509 | 32510 | 32955 | 34401 | 34872 | 34873 | 35430 | 35431 | 38237 | 38456 | 82131 | 82132 | 82133 | 82134 | 82135 | 82136 | 82137,,,0.1% (as benzalkonium chloride),,<empty> | <empty> | <empty> | <empty>,,[],"V (10) For use other than as a preservative, see Annex III, No. 65",,N,2009-12-22T00:00:00.000+0100,1
55,V,"Methanol, (phenylmethoxy)-",Benzyloxymethanol; benzyl hydroxyoxymethan,,,14548-60-8,238-588-8,,32161,,,0.15%,Rinse-off products,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
56,V,3-Iodo-2-propynylbutylcarbamate,,,,55406-53-6,259-627-5,,34582,,,"a) 0.02%
b) 0.01%
c) 0.0075%","a) Rinse-off products
b) Leave-on products
c) Deodorants/antiperspirants","<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],"V (13) Concerns any products aimed to be applied on a large part of the body. (11) Solely for products, other than bath products / shower gels and shampoo, which might be used for children under 3 years of age. (12) Solely for products which might be used for children under 3 years of age",,N,2009-12-22T00:00:00.000+0100,1
57,V,2-Methyl-2H-isothiazol-3-one,2-Methyl-2H-isothiazol-3-one,,,2682-20-4,220-239-6,,35341,,,"0,0015 % Rinse-off products",,<empty> | <empty> | <empty>,,[],,,N,2017-07-07T00:00:00.000+0200,1
58,V,Ethyl-N-alpha-dodecanoyl-L-arginate hydrochloride,Ethyl-N-alpha-dodecanoyl-L-arginate hydrochloride,,,60372-77-2,434-630-6,,,PRESERVATIVE,,"(a) 0,15 %

(b) 0,4 %","(a) Mouthwashes

(b) Other products","<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],14 - For other uses than perservatives - see Annex III entry No 197,,N,2016-07-12T00:00:00.000+0200,1
59,V,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, monohydrate and 1,2,3-Propanetricarboxylic acid, 2-hydroxy-silver(1+) salt, monohydrate","1,2,3-Propanetricarboxylic acid, 2-hydroxy-, monohydrate and 1,2,3-Propanetricarboxylic acid, 2-hydroxy-silver(1+) salt, monohydrate",,,5949-29-1; 77-92-9; 36701-38-9,460-890-5,,32858 | 82665,,,"0,2% corresponding to 0,0024% of silver",,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2014-08-09T00:00:00.000+0200,1
60,V,4-(3-ethoxy-4-hy­droxyphenyl)bu­tan-2-one,4-(3-ethoxy-4-hy­droxyphenyl)bu­tan-2-one,,,569646-79-3,933-435-8,,,,,0.7 %,"Allowed for use as a  preservative in rinse off, oral care and leave-on cosmetic products at a  maximum concentration of 0,7 % in ready for use preparation.","<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2019-11-07T00:00:00.000+0100,1
61,V,Silver zinc zeolite,,,,130328-20-0,603-404-0,,54602,,,(a) and (b) 1 %,"(a) Deodorant spray
(b) Powder foundation",,,[],,,N,2026-04-28T00:00:00.000+0200,1
61,V,Silver zinc zeolite,,,,130328-20-0,603-404-0,,54602,,,(a) and (b) 1 %,"(a) Deodorant spray
(b) Powder foundation",,,[],,,N,2026-04-28T00:00:00.000+0200,1
