refNo,annexNo,inciName,chemicalName,innName,phEurName,casNo,ecNo,chemicalDescription,identifiedIngredient,functionName,cosmeticRestriction,maximumConcentration,productTypeBodyParts,otherRestrictions,otherRegulations,classificationInformation,note,colour,perfuming,publicationDate,currentVersion
31,IV,"Disodium 6-hydroxy-5-[(4-sulphonatophenyl)azo]naphthalene-2-sulphonate and its insoluble barium, strontium and zirconium lakes, salts and pigments",Disodium 6-hydroxy-5-((4-sulphonatophenyl)azo)naphthalene-2-sulphonate,,,2783-94-0,220-491-7,,32724,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty>",,[],,Yellow,N,2009-12-22T00:00:00.000+0100,1
32,IV,Disodium 6-hydroxy-5-[(2-methoxy-4-sulphonato-m-tolyl)azo]naphthalene-2-sulphonate,Disodium 6-hydroxy-5-[(2-methoxy-4-sulphonato-m-tolyl)azo]naphthalene-2-sulphonate,,,25956-17-6,247-368-0,,32725 | 33088 | 87675,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
33,IV,"Trisodium 3-hydroxy-4-(4'-sulphonatonaphthylazo)naphthalene-2,7-disulphonate","Trisodium 3-hydroxy-4-(4'-sulphonatonaphthylazo)naphthalene-2,7-disulphonate",,,642-59-1; 915-67-3,211-385-1; 213-022-2,,31626 | 32726 | 54160 | 87674,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
34,IV,"Disodium 7-hydroxy-8-(phenylazo)naphthalene-1,3-disulphonate","Disodium 7-hydroxy-8-(phenylazo)naphthalene-1,3-disulphonate",,,1936-15-8,217-705-6,,32727,,,Not to be used in products applied on mucous membranes,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Orange,N,2009-12-22T00:00:00.000+0100,1
35,IV,"Trisodium 1-(1-naphthylazo)-2-hydroxynaphthalene-4',6,8-trisulphonate and its insoluble barium, strontium and zirconium lakes, salts and pigments","Trisodium 1-(1-naphthylazo)-2-hydroxynaphthalene-4',6,8-trisulphonate and its insoluble barium, strontium and zirconium lakes, salts and pigments",,,2611-82-7,220-036-2,,31623 | 31624 | 32728 | 87673,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
36,IV,"Tetrasodium 7-hydroxy-8-[(4-sulphonato-1-naphthyl)azo]naphthalene-1,3,6-trisulphonate","Tetrasodium 7-hydroxy-8-[(4-sulphonato-1-naphthyl)azo]naphthalene-1,3,6-trisulphonate",,,5850-44-2,227-454-4,,32729,,,,,<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>,,[],,Red,N,2009-12-22T00:00:00.000+0100,1
37,IV,"Disodium 5-amino-4-hydroxy-3-(phenylazo)naphthalene-2,7-disulphonate and its unsoluble barium, strontium and zirconium lakes, salts and pigments","Disodium 5-amino-4-hydroxy-3-(phenylazo)naphthalene-2,7-disulphonate and its unsoluble barium, strontium and zirconium lakes, salts and pigments",,,3567-66-6,222-656-9,,31627 | 32730 | 82173,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
38,IV,"Disodium 5-acetylamino-4-hydroxy-3-(phenylazo)naphthalene-2,7-disulphonate","Disodium 5-acetylamino-4-hydroxy-3-(phenylazo)naphthalene-2,7-disulphonate",,,3734-67-6,223-098-9,,32731,,,Not to be used in products applied on mucous membranes,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
39,IV,"2,7-Naphthalenedisulfonic acid, 3-((4-cyclohexyl-2-methylphenyl)azo)-4-hydroxy-5-(((4-methylphenyl)sulfonyl)amino)-, disodium salt","2,7-Naphthalenedisulfonic acid, 3-((4-cyclohexyl-2-methylphenyl)azo)-4-hydroxy-5-(((4-methylphenyl)sulfonyl)amino)-, disodium salt",,,10236-37-0,,,32732,,,Rinse-off products,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
40,IV,"Hydrogen bis[2-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]benzoato(2-)]chromate(1-)","Hydrogen bis[2-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]benzoato(2-)]chromate(1-)",,,5601-29-6,227-022-5,,32733,,,Rinse-off products,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty>",,[],,Yellow,N,2009-12-22T00:00:00.000+0100,1
41,IV,"Disodium hydrogen bis[5-chloro-3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-2-hydroxybenzenesulphonato(3-)]chromate(3-)","Disodium hydrogen bis[5-chloro-3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-2-hydroxybenzenesulphonato(3-)]chromate(3-)",,,6408-26-0,229-051-9,,32734,,,Rinse-off products,,<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>,,[],,Red,N,2009-12-22T00:00:00.000+0100,1
42,IV,Sodium 4-(3-hydroxy-5-methyl-4-phenylazopyrazol-2-yl)benzenesulphonate,Sodium 4-(3-hydroxy-5-methyl-4-phenylazopyrazol-2-yl)benzenesulphonate,,,6359-82-6,228-808-0,,32735,,,Rinse-off products,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Yellow,N,2009-12-22T00:00:00.000+0100,1
43,IV,"Disodium 2,5-dichloro-4-(5-hydroxy-3-methyl-4-((sulphophenyl)azo)pyrazol-1-yl)benzenesulphonate","Disodium 2,5-dichloro-4-(5-hydroxy-3-methyl-4-((sulphophenyl)azo)pyrazol-1-yl)benzenesulphonate",,,6359-98-4,228-819-0,,32736,,,,,<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>,,[],,Yellow,N,2009-12-22T00:00:00.000+0100,1
44,IV,"Trisodium 5-hydroxy-1-(4-sulphophenyl)-4-((4-sulphophenyl)azo)pyrazole-3-carboxylate and its insoluble barium, strontium and zirconium lakes, salts and pigments","Trisodium 5-hydroxy-1-(4-sulphophenyl)-4-((4-sulphophenyl)azo)pyrazole-3-carboxylate and its insoluble barium, strontium and zirconium lakes, salts and pigments",,,12225-21-7; 1934-21-0,235-428-9; 217-699-5,,32737 | 54161 | 87676 | 31637,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Yellow,N,2009-12-22T00:00:00.000+0100,1
45,IV,"N,N'-(3,3'-Dimethyl[1,1'-biphenyl]-4,4'-diyl)bis[2-[(2,4-dichlorophenyl)azo]-3-oxobutyramide]","N,N'-(3,3'-Dimethyl[1,1'-biphenyl]-4,4'-diyl)bis[2-[(2,4-dichlorophenyl)azo]-3-oxobutyramide]",,,5979-28-2,227-783-3,,32738,,,Rinse-off products,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty>",,[],,Yellow,N,2009-12-22T00:00:00.000+0100,1
46,IV,"Sodium 4-amino-5-hydroxy-3-[(4-nitrophenyl)azo]-6-(phenylazo)naphthalene-2,7-disulphonate","Sodium 4-amino-5-hydroxy-3-[(4-nitrophenyl)azo]-6-(phenylazo)naphthalene-2,7-disulphonate",,,1064-48-8,213-903-1,,32739,,,Rinse-off products,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Black,N,2009-12-22T00:00:00.000+0100,1
47,IV,"2,2'-[(3,3'-Dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(2,4-dimethylphenyl)-3-oxobutyramide]","2,2'-[(3,3'-Dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(2,4-dimethylphenyl)-3-oxobutyramide]",,,5102-83-0,225-822-9,,32740 | 36580 | 87677,,,Rinse-off products,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Yellow,N,2009-12-22T00:00:00.000+0100,1
48,IV,"2,2'-[(3,3'-Dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(4-chloro-2,5-dimethoxyphenyl)-3-oxobutyramide]","2,2'-[(3,3'-Dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(4-chloro-2,5-dimethoxyphenyl)-3-oxobutyramide]",,,5567-15-7,226-939-8,,32741,,,Rinse-off products,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty>",,[],,Yellow,N,2009-12-22T00:00:00.000+0100,1
49,IV,"2,2'-[Cyclohexylidenebis[(2-methyl-4,1-phenylene)azo]]bis[4-cyclohexylphenol]","2,2'-[Cyclohexylidenebis[(2-methyl-4,1-phenylene)azo]]bis[4-cyclohexylphenol]",,,6706-82-7,229-754-0,,32742 | 38160 | 87678,,,Not to be used in products applied on mucous membranes,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Yellow,N,2009-12-22T00:00:00.000+0100,1
50,IV,"Disodium 4,6-dihydroxy-3-[[4-[1-[4-[[1-hydroxy-7-[(phenylsulphonyl)oxy]-3-sulphonato-2-naphthyl]azo]phenyl]cyclohexyl]phenyl]azo]naphthalene-2-sulphonate","Disodium 4,6-dihydroxy-3-[[4-[1-[4-[[1-hydroxy-7-[(phenylsulphonyl)oxy]-3-sulphonato-2-naphthyl]azo]phenyl]cyclohexyl]phenyl]azo]naphthalene-2-sulphonate",,,13421-53-9,236-531-1,,32743,,,Rinse-off products,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
51,IV,1-(4-(Phenylazo)phenylazo)-2-naphthol,1-(4-(Phenylazo)phenylazo)-2-naphthol,,,85-86-9,201-638-4,,32744 | 38153,,,Not to be used in products applied on mucous membranes,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
52,IV,"Tetrasodium 6-amino-4-hydroxy-3-[[7-sulphonato-4-[(4-sulphonatophenyl)azo]-1-naphthyl]azo]naphthalene-2,7-disulphonate","Tetrasodium 6-amino-4-hydroxy-3-[[7-sulphonato-4-[(4-sulphonatophenyl)azo]-1-naphthyl]azo]naphthalene-2,7-disulphonate",,,2118-39-0,218-326-9,,32745 | 87680,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Black,N,2009-12-22T00:00:00.000+0100,1
53,IV,"Tetrasodium 1-acetamido-2-hydroxy-3-(4-((4-sulphonatophenylazo)-7-sulphonato-1-naphthylazo))naphthalene-4,6-disulphonate","Tetrasodium 1-acetamido-2-hydroxy-3-(4-((4-sulphonatophenylazo)-7-sulphonato-1-naphthylazo))naphthalene-4,6-disulphonate",,,2519-30-4,219-746-5,,32746,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty>",,[],,Black,N,2009-12-22T00:00:00.000+0100,1
54,IV,"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis-5-nitro-, disodium salt, reaction products with 4-[(4-aminophenyl)azo]benzenesulfonic acid, sodium salts","Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis-5-nitro-, disodium salt, reaction products with 4-[(4-aminophenyl)azo]benzenesulfonic acid, sodium salts",,,1325-54-8,215-397-8,,32747,,,Rinse-off products,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty>",,[],,Orange,N,2009-12-22T00:00:00.000+0100,1
55,IV,beta Carotene,beta Carotene,,,116-32-5; 31797-85-0; 7235-40-7,230-636-6,,32748 | 32173,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Orange,N,2009-12-22T00:00:00.000+0100,1
56,IV,8'-apo-.beta.-Caroten-8'-al,8'-apo-.beta.-Caroten-8'-al,,,1962-15-8,214-171-6,,32749,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Orange,N,2009-12-22T00:00:00.000+0100,1
57,IV,Ethyl 8'-apo-.beta.-caroten-8'-oate,Ethyl 8'-apo-.beta.-caroten-8'-oate; CI 40825,,,1109-11-1,214-173-7,,32750,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Orange,N,2009-12-22T00:00:00.000+0100,1
58,IV,Canthaxanthin,Canthaxanthin,,,514-78-3,208-187-2,,32751,,,,,<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>,,[],,Orange,N,2009-12-22T00:00:00.000+0100,1
59,IV,"Ammonium, (4-(alpha-(p-(diethylamino)phenyl)-2,4-disulfobenzylidene)-2,5-cyclohexadien-1-ylidene)diethyl-, hydroxide, monosodium salt","Ammonium, (4-(alpha-(p-(diethylamino)phenyl)-2,4-disulfobenzylidene)-2,5-cyclohexadien-1-ylidene)diethyl-, hydroxide, monosodium salt",,,129-17-9,204-934-1,,31609 | 32752,,,Not to be used in products applied on mucous membranes,,<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>,,[],,Blue,N,2009-12-22T00:00:00.000+0100,1
60,IV,"Ethanaminium, N-(4-((4-(diethylamino)phenyl)(5-hydroxy-2,4-disulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-N-ethylhydroxide, inner salt, calcium salt (2:1) and its insoluble barium, strontium and zirconium lakes, salts and pigments","Ethanaminium, N-(4-((4-(diethylamino)phenyl)(5-hydroxy-2,4-disulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-N-ethylhydroxide, inner salt, calcium salt (2:1) and its insoluble barium, strontium and zirconium lakes, salts and pigments",,,3536-49-0,222-573-8,,31610 | 32753 | 87682,,,,,<empty> | <empty> | <empty>,,[],,Blue,N,2009-12-22T00:00:00.000+0100,1
61,IV,"Benzene-methanaminium, N-ethyl-N-(4-((4-(ethyl((3-sulfophenyl)methyl)amino)phenyl)(4-hydroxy-2-sulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-3-sulfo-, hydroxide, inner salt, disodium salt","Benzene-methanaminium, N-ethyl-N-(4-((4-(ethyl((3-sulfophenyl)methyl)amino)phenyl)(4-hydroxy-2-sulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-3-sulfo-, hydroxide, inner salt, disodium salt",,,2353-45-9,219-091-5,,32754 | 33923 | 87683,,,,,<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>,,[],,Green,N,2009-12-22T00:00:00.000+0100,1
62,IV,"Hydrogen (benzyl)[4-[[4-[benzylethylamino]phenyl](2,4-disulphonatophenyl)methylene]cyclohexa-2,5-dien-1-ylidene](ethyl)ammonium, sodium salt","Hydrogen (benzyl)[4-[[4-[benzylethylamino]phenyl](2,4-disulphonatophenyl)methylene]cyclohexa-2,5-dien-1-ylidene](ethyl)ammonium, sodium salt",,,3486-30-4,222-476-0,,32755,,,Rinse-off products,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Blue,N,2009-12-22T00:00:00.000+0100,1
