refNo,annexNo,inciName,chemicalName,innName,phEurName,casNo,ecNo,chemicalDescription,identifiedIngredient,functionName,cosmeticRestriction,maximumConcentration,productTypeBodyParts,otherRestrictions,otherRegulations,classificationInformation,note,colour,perfuming,publicationDate,currentVersion
232,III,"3,5-Diamino-2,6-dimethoxypyridine and its salts","2,6-Dimethoxy-3,5- pyridinediamine and its hydrochloride",,,56216-28-5 - 85679-78-3,260-062-1,,31482,COLORANT,,,Hair dye substance in oxidative hair dye products,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty>",,[],,,N,2013-04-25T00:00:00.000+0200,1
234,III,"Ethanol, 2-[(4-amino-2-methyl-5-nitrophenyl)amino]- and its salts","Ethanol, 2-[(4-amino-2-methyl-5-nitrophenyl)amino]- and its salts",,,82576-75-8,417-600-7,,34212,,,(b) 0.28%,"(a) Hair dye substance in oxidative hair dye products
(b) Hair dye substance in non-oxidative hair dye products","<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2013-04-25T00:00:00.000+0200,2
235,III,2-[3-(Methylamino)-4-nitrophenoxy]ethanol  (see note 17),,,,59820-63-2,261-940-7,,31517,HAIR DYEING,,0 15%,Hair due substance in non-oxidative hair dye products,<empty> | <empty> | <empty> | <empty>,,[],17 - The free base and salts of this hair colouring ingredient unless prohibited under Annex II are permitted for use,,N,2013-04-25T00:00:00.000+0200,1
236,III,2-[(2-methoxy-4-nitrophenyl)amino]ethanol and its salts,,,,66095-81-6,266-138-0,,31499,,,0.2%%,Hair dye substance in non-oxidative hair dye products,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2013-04-25T00:00:00.000+0200,1
237,III,"2,2'-[(4-Amino-3-nitrophenyl)imino]bisethanol hydrochloride and its salts",,,,29705-39-3 -  94158-13-1,-- 303-083-4,,34207,,,(b) 2.5% (as hydro-chloride),"(a) Hair due substance in oxidative hair dye products
(b) Hair due substance in non-oxidative hair dye products","<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty>",,[],,,N,2013-04-25T00:00:00.000+0200,1
238,III,"Naphthalene-1,5-diol and its salts","Naphthalene-1,5-diol and its salts",,,83-56-7,201-487-4,,31468,,,b) 1.0%,"a) Hair dye substance in oxidative hair dye products
b) Hair dye substance in non-oxidative hair dye products","<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty>",,[],,,N,2013-04-25T00:00:00.000+0200,1
239,III,Hydroxypropyl bis(N-hydroxyethyl-p-phenylenediamine) and its tetrahydro-chloride,,,,128729-30-6 -- 128729-28-2,416-320-2,,34526,,,,Hair dye substance in oxidative hair dye products,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2013-04-25T00:00:00.000+0200,1
240,III,"4-Nitro-1,2-phenylenediamine","4-Nitro-1,2-phenylenediamine",,,99-56-9,202-766-3,,,HAIR DYEING,,,Hair dye substance in oxidative hair dye products,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2013-07-11T00:00:00.000+0200,1
241,III,5-Amino-o-cresol,5-Amino-o-cresol,,,2835-95-2,220-618-6,,31522,,,,"(a) Hair dye substance in oxidative hair dye products
(b) Products intented for colouring eyelashes","<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2013-11-25T00:00:00.000+0100,1
242,III,"2,4-Diaminophenoxyethanol, its hydrochloride and its sulphate","2,4-Diaminophenoxyethanol, its hydrochloride and its sulphate",,,70643-19-5 / 66422-95-5 / 70643-20-8,- / 266-357-1 / 274-713-2,,31476 | 54183,,,,"(a) Hair dye substance in oxidative hair dye products
(b) Products intended for colouring eyelashes","<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty>",,[],,,N,2013-11-25T00:00:00.000+0100,2
