substanceId,inciName,innName,phEurName,casNo,ecNo,chemicalDescription,chemicalName,functionName,status,cosmeticRestriction,otherRestrictions,otherRegulations,relatedRegulations,maximumConcentration,productTypeBodyParts,wordingOfConditions,sccsOpinion,note,perfuming,annexNo,officialJournalPublication,currentVersion
60023,VACCINIUM VITIS-IDAEA FRUIT EXTRACT,,,90131-85-4,290-400-3,"Vaccinium Vitis-Idaea Fruit Extract is an extract of the fruit of the Cowberry, Vaccinium vitis-idaea L., Ericaceae",,ANTIOXIDANT,Active,,,,,,,,,,N,,Y,1
60024,VACCINIUM VITIS-IDAEA FRUIT JUICE,,,90131-85-4,290-400-3,"Vaccinium Vitis-Idaea Fruit Juice is the juice expressed from the fruit of the Cowberry, Vaccinium vitis-idaea L., Ericaceae",,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60025,VACCINIUM VITIS-IDAEA LEAF EXTRACT,,,90131-85-4,290-400-3,"Vaccinium Vitis-Idaea Leaf Extract is an extract of the leaves of the Cowberry, Vaccinium vitis-idaea L., Ericaceae",,ASTRINGENT | SKIN CONDITIONING | TONIC,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60026,VACCINIUM VITIS-IDAEA LEAF PROTOPLASTS,,,90131-85-4,290-400-3,"Vaccinium Vitis-Idaea Leaf Extract is an extract of the leaves of the Cowberry, Vaccinium vitis-idaea L., Ericaceae",,ANTIOXIDANT | HUMECTANT | SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60027,VACCINIUM VITIS-IDAEA SEED OIL,,,90131-85-4,290-400-3,"Vaccinium Vitis-Idaea Seed Oil is the oil expressed from the seeds of the Cowberry, Vaccinium vitis-idaea L., Ericaceae",,ANTIOXIDANT | SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING | SKIN PROTECTING,Active,,,,,,,,,,N,,Y,1
60028,VALERIANA CELTICA EXTRACT,,,90131-86-5,290-401-9,"Valeriana Celtica Extract is an extract of the Valerian, Valeriana celtica L., Valeriabaceae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60029,VALERIANA FAURIEI ROOT EXTRACT,,,94167-13-2,303-412-1,"Valeriana Fauriei Root Extract is an extract of the rhizomes of the Valerian, Valeriana fauriei, Valerianaceae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60030,VALERIANA OFFICINALIS RHIZOME/ROOT EXTRACT,,,8057-49-6,232-501-7,"Valeriana Officinalis Rhizome/Root Extract is an extract of the rhizomes and roots of the Valerian, Valeriana officinalis L., Valerianaceae",,FRAGRANCE | SKIN CONDITIONING | SOOTHING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60032,VALERIANA WALLICHII ROOT EXTRACT,,,90131-89-8,290-405-0,"Valeriana Wallichii Root Extract is an extract of the roots of Valeriana wallichii, Valerianaceae",,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60034,VANILLA PLANIFOLIA FRUIT,,,8024-06-4 / 84650-63-5,- / 283-521-8,"Vanilla Planifolia Fruit is a plant material derived from cured, full-grown unripe fruit of the Vanilla, Vanilla planifolia, Orchidaceae",,FRAGRANCE | SKIN PROTECTING | SMOOTHING,Active,,,,,,,,,,N,,Y,1
60035,VANILLA PLANIFOLIA FRUIT EXTRACT,,,8024-06-4 / 84650-63-5,- / 283-521-8,"Vanilla Planifolia Fruit Extract is an extract of the fruit of the Vanilla, Vanilla planifolia, Orchidaceae",,SKIN CONDITIONING | SKIN PROTECTING | SMOOTHING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60036,VANILLA PLANIFOLIA FRUIT OIL,,,8024-06-4 / 84650-63-5,- / 283-521-8,"Vanilla Planifolia Fruit Oil is the oil expressed from the fruit of the Vanilla, Vanilla planifolia, Orchidaceae",,SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60037,VANILLA PLANIFOLIA SEED,,,8024-06-4 / 84650-63-5,- / 283-521-8,"Vanilla Planifolia Seed is the seeds of the Vanilla, Vanilla planifolia, Orchidaceae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60038,VANILLA PLANIFOLIA SEED POWDER,,,8024-06-4 / 84650-63-5,- / 283-521-8,"Vanilla Planifolia Seed Powder is the powder obtained from the dried, ground seeds of the Vanilla, Vanilla planifolia, Orchidaceae",,ABRASIVE,Active,,,,,,,,,,N,,Y,1
60039,VANILLA TAHITENSIS FRUIT,,,94167-14-3 / 8024-06-4,303-413-7 / -,"Vanilla Tahitensis Fruit is a plant material derived from the cured, full-grown, unripe fruit (bean) of the Vanilla, Vanilla tahitensis, Orchidaceae",,FRAGRANCE,Active,,,,,,,,,,N,,Y,1
60040,VANILLA TAHITENSIS FRUIT EXTRACT,,,94167-14-3,303-413-7,"Vanilla Tahitensis Extract is an extract of the fruit of the Vanilla, Vanilla tahitensis, Orchidaceae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60041,VANILLYL BUTYL ETHER,,,82654-98-6,,,"Phenol, 4-(Butoxymethyl)-2-Methoxy-",HAIR CONDITIONING | FRAGRANCE | ORAL CARE | SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60042,VATERIA INDICA SEED BUTTER,,,,,"Vateria Indica Seed Butter is the fat obtained from the seeds of the Indian Copal, Vateria Indica L., Dipterocarpaceae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60043,VEGETABLE AMINO ACIDS,,,,,Vegetable Amino Acids are the amino acids obtained by the complete hydrolysis of Hydrolized Vegetable Protein (q.v.),,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
