COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
89071,PINUS PINASTER SEED OIL,,, 999999-99-4,"Pinus Pinaster Seed Oil is the volatile obtained by cold pression of seeds of Pinus pinaster, Pinaceae.",,"EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING",04/06/2012
55929,DIMETHYLTOLYLAMINE,,, 99-97-8,"N,N-Dimethyl-p-Tolylamine; N,N-dimethyl-p-toluidine; Dimethyl-4-toluidine; N,N-Dimethyl-4-methylaniline",,NAIL CONDITIONING,25/10/2016
31527,4-HYDROXYBENZOIC ACID,,, 99-96-7,4-hydroxybenzoic acid,V/12,PRESERVATIVE,16/10/2010
95617,2-HYDROXYPROPYL ACRYLATE,,, 999-61-1; 25584-83-2,"2-Propenoic acid, 2-hydroxypropyl ester,2-Propenoic acid, monoester with 1,2-propanediol",,FILM FORMING,15/01/2018
40880,NERYL BUTYRATE,,, 999-40-6,"cis-3,7-Dimethyl-2,6-octadienyl butanoate",,PERFUMING,02/03/2011
90948,HYDROXYACETOPHENONE,,, 99-93-4,"Ethanone, 1-(4-hydroxyphenyl)-,p-Hydroxyacetophenone",,ANTIOXIDANT,14/10/2013
76576,HYDROLYZED RETICULIN,,, 99924-37-5,"Protein hydrolyzates, reticulin. Substance obtained by hydrolysis of reticulin, composed primarily of proteins, peptides and amino acids",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
39737,P-ISOPROPYLPHENOL,,, 99-89-8,p-Isopropylphenol,,PERFUMING,02/03/2011
33833,ETHYL METHOXYCINNAMATE,,, 99880-64-5,Ethyl p-methoxycinnamate,,UV ABSORBER,15/10/2010
77193,P-CYMENE,,, 99-87-6,1-Methyl-4-(1-methylethyl)benzene,,MASKING,15/10/2010
41318,ALPHA-TERPINENE,,, 99-86-5,"p-Mentha-1,3-diene; 1-Methyl-4-isopropyl-1,3-cyclohexadiene; 1-Methyl-4-(1-methylethyl)-1,3-cyclohexadiene",III/131,PERFUMING,15/10/2010
41435,GAMMA-TERPINENE,,, 99-85-4,"p-Mentha-1,4-diene; 1-Methyl-4-isopropyl-1,4-cyclohexadiene; 1-Methyl-4-(1-methylethyl)-1,4-cyclohexadiene",III/132,PERFUMING,15/10/2010
40594,ALPHA-PHELLANDRENE,,, 99-83-2,"p-Mentha-1,5-diene",,PERFUMING,02/03/2011
39760,JUNIPERUS MEXICANA WOOD EXTRACT EPOXIDIZED,,, 99811-75-3,"Juniperus Mexicana Wood Extract Epoxidized is the epoxidized extract obtained from the wood of the Juniper, Juniperus mexicana, Cupressaceae. Syn Cedarwood Texas",,PERFUMING,02/03/2011
34190,HC BLUE NO. 14,,, 99788-75-7,"9,10-Anthracenedione, 1,4-Bis[2,3,-Dihydroxypropylamino]-",Annex III/264,HAIR DYEING,06/06/2019
35342,METHYLPARABEN,methylparaben,methylis parahydroxybenzoas, 99-76-3,Methyl 4-hydroxybenzoate,V/12,PRESERVATIVE,16/10/2010
92047,ACETYL ASPARTIC ACID,,, 997-55-7,"N-Acetyl- L-Aspartic Acid,(2S)-2-Acetamidobutanedioic acid",,SKIN CONDITIONING,23/09/2014
40812,METHYL P-TOLUATE,,, 99-75-2,Methyl 4-methyl-benzoate,,PERFUMING,02/03/2011
78995,POLYGLYCERYL-6 PALMITATE,,, 99734-31-3,"1,2,3-Propanetriol, homopolymer, hexadecanoate",,"EMOLLIENT, EMULSIFYING",15/10/2010
78998,POLYGLYCERYL-6 PENTASTEARATE,,, 99734-30-2,"1,2,3-Propanetriol, homopolymer, octadecanoates (1:5) (6 mol glycerol average molar ratio)",,EMULSIFYING,15/10/2010
78918,POLYGLYCERYL-4 TRISTEARATE,,, 99734-29-9,triester of tetraglycerol and stearic acid,,"EMOLLIENT, EMULSIFYING",15/10/2010
40696,METHYL HYDRATROPALDEHYDE,,, 99-72-9,2-(p-Tolyl)propionaldehyde,,PERFUMING,02/03/2011
95645,ACRYLATES/VA/VINYL NEODECANOATE COPOLYMER,,, 99728-55-9,"Acrylates/VA/Vinyl Neodecanoate Copolymer is a copolymer of Vinyl Acetate, vinyl neodecanoate and one or more monomers consisting of acrylic acid, methacrylic acid or one of their simple esters.",,PLASTICISER,14/02/2018
55840,DIETHYL CAPRYLAMIDE,,, 996-97-4,"N,N-Diethyloctanamide",III/60,"MASKING, PERFUMING",15/10/2010
56300,FULLERENES,,, 99685-96-8,Fullerenes is a class of carbon molecules characterized by an icosohedron structure (Fullerene C60),,"ANTIMICROBIAL, SKIN CONDITIONING",15/10/2010
94126,VALPROIC ACID,,, 99-66-1,2-Propylpentanoic Acid,,SKIN CONDITIONING,23/06/2016
79615,POTASSIUM LACTATE,,, 996-31-6 / 85895-78-9,Potassium lactate,,"BUFFERING, HUMECTANT, SKIN CONDITIONING",15/10/2010
31498,2-HYDROXYETHYL PICRAMIC ACID,,, 99610-72-7,"1-hydroxy-2-.beta.-hydroxyethylamino-4,6-dinitrobenzene",III/222,HAIR DYEING,16/11/2016
78916,POLYGLYCERYL-4 PENTASTEARATE,,, 99570-00-0,pentaester of tetraglycerol and stearic acid,,"EMOLLIENT, EMULSIFYING",15/10/2010
31532,4-NITRO-O-PHENYLENEDIAMINE,,, 99-56-9,4-nitro-o-phenylenediamine (CI 76020),Annex III/240,HAIR DYEING,06/06/2019
80567,TALLOW ALCOHOL,,, 99561-04-3,"Alcohols, tallow",,"EMOLLIENT, EMULSIFYING, EMULSION STABILISING, REFATTING, VISCOSITY CONTROLLING",15/10/2010
35026,LINOLEAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE,,, 99542-23-1,"1-Propanaminium, N-ethyl-N,N-dimethyl-3-[1-oxo-9,12-octadecadienylamino]-, ethyl sulfate (salt)",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010
54201,"3,4-DIHYDROXYBENZOIC ACID",,, 99-50-3,"3,4-Dihydroxybenzoic acid",,SKIN PROTECTING,15/10/2010
39286,CARVEOL,,, 99-48-9,"p-Mentha-1(6),8-dien-2-ol",,PERFUMING,02/03/2011
54584,AMINOPROPYL DIMETHICONE,,, 99363-37-8,"Silicones and siloxanes, dimethyl, 3-aminopropyl methyl, trimethylsilyl terminated",,HAIR CONDITIONING,15/10/2010
54703,BISMUTH SUBGALLATE,,, 99-26-3,"Bismuth, Dihydroxy(3,4,5,-Trihydroxybenzoato-O')-",,SKIN CONDITIONING,15/10/2010
80292,TREHALOSE,,, 99-20-7,"alpha-D-Glucopyranoside, alpha-D-glucopyranosyl",,"HUMECTANT, MOISTURISING",15/10/2010
86411,DI-T-BUTYL HYDROXYPHENYLAMINO BISOCTYLTHIOTRIAZINE,,, 991-84-4,"Phenol, 4-[[4,6-bis(octylthio)-1,3,5-triazin-2-yl]amino]-2,6-bis(1,1-dimethylethyl)-",,ANTIOXIDANT,15/10/2010
86443,PRUNASIN,,, 99-18-3,"Benzeneacetonitrile, alpha-(beta-D-glucopyranosyloxy)-,",,SKIN CONDITIONING,13/11/2010
58391,PROPANE TRICARBOXYLIC ACID,,, 99-14-9 / 51750-56-2,"1,2,3-Propanetricarboxylic acid",,"BUFFERING, CHELATING",15/10/2010
78758,POLYGLYCERYL-10 HEPTASTEARATE,,, 99126-54-2,"1,2,3-Propanetriol, homopolymer, octadecanoates (1:2) (10 mol glycerol average molar ratio)",,SKIN CONDITIONING,15/10/2010
41099,SAUSSUREA LAPPA EXTRACT HYDROGENATED,,, 99098-35-8,"Saussurea Lappa Extract Hydrogenated is a hydrogenated extract obtained from the Costus, Saussurea lappa, Asteraceae",,PERFUMING,02/03/2011
54202,3-HYDROXYBENZOIC ACID,,, 99-06-9,"Benzoic Acid, 3- Hydroxy-",,SKIN CONDITIONING,15/10/2010
75554,DIHYDROGENATED TALLOW PHTHALATE,,, 99035-59-3,"1,2-Benzenedicarboxylic acid, di(hydrogenated tallow alkyl) esters",,"EMOLLIENT, SKIN CONDITIONING, SURFACTANT",15/10/2010
38018,SODIUM PCA METHYLSILANOL,,, 99035-50-4,"Sodium 5-oxo-L-prolinate, methylsilane-triol compound",,"HUMECTANT, SKIN CONDITIONING",15/10/2010
33777,EQUUS EXTRACT,,, 98999-13-4,"Horse, ext. Extractives and their physically modified derivatives such as proteins, lipids, carbohydrates, nucleic acids, inorganic ions, etc. obtained from Equus caballus",,SKIN CONDITIONING,15/10/2010
56148,EPIGALLOCATECHIN GALLATE,,, 989-51-5,"Benzoic acid, 3,4,5-trihydroxy, (2R,3R)-3,4-dihydro-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-2H-1-benzopyran-3-yl ester",,ANTIOXIDANT,15/10/2010
54819,BASIC RED 1,,, 989-38-8,"9-[2-(Ethoxycarbonyl)phenyl]-3,6-bis(ethylamino)-2,7-dimethyl-xanthylium chloride",,HAIR DYEING,15/10/2010
35499,NIACINAMIDE,nicotinamide,nicotinamidum, 98-92-0,3-Pyridinecarboxamide,,SMOOTHING,15/10/2010
74140,ACACIA DECURRENS EXTRACT,,, 98903-76-5,"Acacia Decurrens Extract is an extract of the sprouts of the acacia, Acacia decurrens, Leguminosae",,"ASTRINGENT, SKIN CONDITIONING, TONIC",15/10/2010
54240,ACACIA DECURRENS FLOWER CERA,,, 98903-76-5,"Acacia Decurrens Flower Cera is the wax obtained from the flowers of Acacia decurrens, Leguminosae",,"EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING",15/10/2010
83990,ACACIA DECURRENS FLOWER EXTRACT,,, 98903-76-5,"Acacia Decurrens Flower Extract is the extract of the flowers of the Acacia, Acacia decurrens, Fabaceae",,"MASKING, PERFUMING",15/10/2010
39428,CYCLOHEXANECARBOXYLIC ACID,,, 98-89-5,Cyclohexanecarboxylic Acid,,PERFUMING,02/03/2011
54654,BENZOYL CHLORIDE,,, 98-88-4,Benzenecarbonyl chloride,,SKIN CONDITIONING,15/10/2010
74153,ACETOPHENONE,,, 98-86-2,1-Phenylethanone,,MASKING,15/10/2010
41110,STYRALYL ALCOHOL,,, 98-85-1,1-Phenylethanol; alpha-Methylbenzenemethanol; Methylphenyl Carbinol,,PERFUMING,02/03/2011
77186,PCA,pidolic acid,, 98-79-3,L-2-Pyrrolidone-5-carboxylic acid,,"HUMECTANT, MOISTURISING",15/10/2010
33572,DISODIUM ADENOSINE TRIPHOSPHATE,,, 987-65-5,"Adenosine 5'-(tetrahydrogen triphosphate), disodium salt",,SKIN CONDITIONING,15/10/2010
54219,4-T-BUTYLBENZOIC ACID,,, 98-73-7,"Benzoic Acid, 4-(1,1-Dimethylethyl)-",,"ANTIMICROBIAL, MASKING",15/10/2010
38815,UMBILICAL EXTRACT,,, 98654-16-1,Umbilical Extract is an extract obtained from mammalian umbilical cord,,SKIN CONDITIONING,15/10/2010
82281,HYDROLYZED ANNONA CHERIMOLA FRUIT EXTRACT,,, 98653-82-8,"Hydrolyzed Annona Cherimola Fruit Extract is the hydrolysate of an extract of the fruit of Annona cherimola, Annonaceae",,"ANTIOXIDANT, SKIN CONDITIONING",09/02/2011
79120,POLYQUATERNIUM-24,,, 98616-25-2,"Cellulose ether with .alpha.-(3-(dodecyldimethylammonio)-2-hydroxypropyl)-.omega.-hydroxypoly(oxy-1,2-ethanediyl) chloride",,"ANTISTATIC, FILM FORMING",15/10/2010
40389,MENTHA SPICATA CRISPA HERB EXTRACT,,, 98561-44-5,"Mentha Spicata Crispa Herb Extract is an extract obtained from the herbs of the Spearmint, Mentha spicata (L.) var. crispa, Labiatae",,PERFUMING,02/03/2011
40390,MENTHA SPICATA CRISPA HERB OIL,,, 98561-44-5,"Mentha Spicata Crispa Herb Oil is an essential oil obtained from the herbs of the Spearmint, Mentha spicata (L.) var. crispa, Lamiaceae",,PERFUMING,02/03/2011
39124,4-TERT-BUTYLCYCLOHEXANONE,,, 98-53-3,4-tert-Butylcyclohexanone,,PERFUMING,02/03/2011
85631,PROPOXYPROPANEDIOL,,, 98524-54-0,,,ANTIMICROBIAL,15/10/2010
54220,4-T-BUTYLCYCLOHEXANOL,,, 98-52-2,"Cyclohexanol, 4-(1,1-dimethylethyl)-",,"MASKING, PERFUMING",15/10/2010
39173,4-TERT-BUTYLTOLUENE,,, 98-51-1,4-tert-Butyltoluene,,PERFUMING,02/03/2011
80498,UNDECYLENAMIDOPROPYL BETAINE,,, 98510-75-9,(Carboxymethyl)dimethyl[3-[(1-oxoundecenyl)amino]propyl]ammonium hydroxide,,"ANTISTATIC, CLEANSING, FOAM BOOSTING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT, VISCOSITY CONTROLLING",15/10/2010
40106,HEDEOMA PULEGIOIDES AMERICAN HERB EXTRACT,,, 98306-02-6,"Hedeoma Pulegioides American Herb Extract is an extract obtained from the herbs of the American Pennyroyal, Hedeoma pulegioides, Linn. pro parte, Hudson, Labiatae",,PERFUMING,02/03/2011
40107,HEDEOMA PULEGIOIDES AMERICAN HERB OIL,,, 98306-02-6,"""Pennyroyal Oil-American; Hedeoma Oil"". Hedeoma Pulegioides American Herb Oil is the essential oil obtained from the herbs of the American Pennyroyal, Hedeoma pulegioides, Linn. pro parte, Hudson, Labiatae. It contains pulegone (up to 85%), two ketones, acetic, formic and isoheptanoic acid",,PERFUMING,02/03/2011
40074,MENTHA PIPERITA AMERICAN HERB EXTRACT,,, 98306-02-6,"Mentha Piperita American Herb Extract is an extract obtained from the herbs of the American Pennyroyal, Mentha piperita L., Linn. pro parte, Hudson, Labiatae",,PERFUMING,02/03/2011
40075,MENTHA PIPERITA AMERICAN HERB OIL,,, 98306-02-6,"""Pennyroyal Oil-American; Hedeoma Oil"". Mentha Piperita American Herb Oil is the essential oil obtained from the herbs of the American Pennyroyal, Mentha piperita L., Linn. pro parte, Hudson, Labiatae. It contains pulegone (up to 85%), two ketones, acetic, formic and isoheptanoic acids",,PERFUMING,02/03/2011
59955,UNDECYL GLUCOSIDE,,, 98283-67-1,"D-Glucopyranoside, Undecyl",,"CLEANSING, SURFACTANT",30/10/2017
96200,EUCALYPTUS CINEREA LEAF OIL,,, 98143-66-9,"Eucalyptus Cinerea Leaf Oil is the volatile oil obtained from the leaves of Eucalyptus cinerea, Myrtaceae.",,"ASTRINGENT, DEODORANT, FLAVOURING, MASKING",18/04/2018
96201,EUCALYPTUS CINEREA LEAF WATER,,, 98143-66-9,"Eucalyptus Cinerea Leaf Water is an aqueous solution of the steam distillates obtained from the leaves of Eucalyptus cinerea, Myrtaceae.",,"ASTRINGENT, DEODORANT, FLAVOURING, MASKING",18/04/2018
54635,ASTROCARYUM VULGARE FRUIT OIL,,, 98143-57-8,"Astrocaryum Vulgare Fruit Oil is the oil expressed from the fruit of Astrocaryum vulgare, Palmae",,SKIN CONDITIONING,15/10/2010
85835,CITRUS UNSHIU EXTRACT,,, 98106-71-9,"Citrus Unshiu Extract is the extract of the whole plant of the Mandarin orange, Satsuma, Citrus unshiu, Rutaceae",,SKIN CONDITIONING,15/10/2010
88020,CITRUS UNSHIU FLOWER POWDER,,, 98106-71-9,"Citrus Unshiu Flower Powder is the powder of the flowers of the Mandarin orange, Satsuma, Citrus unshiu, Rutaceae",,ABRASIVE,12/12/2011
85831,CITRUS UNSHIU FRUIT EXTRACT,,, 98106-71-9,"Citrus Unshiu Fruit Extract is the extract of the fruit of the Mandarin orange, Satsuma, Citrus unshiu, Rutaceae",,"ANTIOXIDANT, EMOLLIENT, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",15/10/2010
85830,CITRUS UNSHIU FRUIT JUICE,,, 98106-71-9,"Citrus Unshiu Fruit Juice is the juice expressed from the fruit of the Mandarin orange, Satsuma, Citrus unshiu, Rutaceae",,"HUMECTANT, SKIN CONDITIONING",15/10/2010
55442,CITRUS UNSHIU FRUIT OIL,,, 98106-71-9,"Citrus Unshiu Fruit Oil is the volatile oil expressed from the fruit of the Mandarin orange, Satsuma, Citrus unshiu, Rutaceae",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010
82419,CITRUS UNSHIU FRUIT POWDER,,, 98106-71-9,"Citrus Unshiu Fruit Powder is the powder of the fruits of the Mandarin orange, Satsuma, Citrus unshiu, Rutaceae",,"ANTIOXIDANT, MASKING, SKIN CONDITIONING",15/10/2010
85834,CITRUS UNSHIU FRUIT WATER,,, 98106-71-9,"Citrus Unshiu Fruit Water is the aqueous solution of the steam distillates obtained from the fruit of the Mandarin orange, Satsuma, Citrus unshiu, Rutaceae",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
32906,CITRUS UNSHIU PEEL EXTRACT,,, 98106-71-9,"Citrus Unshiu Peel Extract is an extract of the peel of the Mandarin orange, Satsuma, Citrus unshiu, Rutaceae",,MASKING,15/10/2010
32907,CITRUS UNSHIU PEEL POWDER,,, 98106-71-9,"Citrus Unshiu Peel Powder is the powder of the dried peel of the Mandarin orange, Satsuma, Citrus unshiu, Rutaceae",,MASKING,15/10/2010
55443,CITRUS UNSHIU PERICARP EXTRACT,,, 98106-71-9,"Citrus Unshiu Pericarp Extract is an extract of the pericarp of the Mandarin orange, Satsuma, Citrus unshiu, Rutaceae",,SKIN CONDITIONING,15/10/2010
31815,ALUMINUM ZIRCONIUM OCTACHLOROHYDRATE,,, 98106-55-9,Octaaluminium zirconium octachloride icosahydroxide,III/50,"ANTIPERSPIRANT, ASTRINGENT, DEODORANT",15/10/2010
31817,ALUMINUM ZIRCONIUM PENTACHLOROHYDRATE,,, 98106-54-8,Octaaluminium zirconium pentachloride tricosahydroxide,III/50,"ANTIPERSPIRANT, ASTRINGENT, DEODORANT",15/10/2010
31823,ALUMINUM ZIRCONIUM TRICHLOROHYDRATE,,, 98106-53-7,Tetraaluminium zirconium trichloride tridecahydroxide.,III/50,"ANTIPERSPIRANT, ASTRINGENT, DEODORANT",15/10/2010
31819,ALUMINUM ZIRCONIUM TETRACHLOROHYDRATE,,, 98106-52-6,Tetraaluminium zirconium tetrachloride dodecahydroxide.,III/50,"ANTIPERSPIRANT, ASTRINGENT, DEODORANT",15/10/2010
90953,DELMOPINOL HCL,,, 98092-92-3,"4-Morpholineethanol, 3-(4-propylheptyl)-, hydrochloride (1:1",,"ANTIPLAQUE, CLEANSING, ORAL CARE, SURFACTANT",14/10/2013
32797,CI 73915,,, 980-26-7,"5,12-Dihydro-2,9-dimethylquino[2,3-b]acridine-7,14-dione",IV/103,COSMETIC COLORANT,15/10/2010
40012,2-FURYLMETHANETHIOL,,, 98-02-2,2-Furylmethanethiol,,PERFUMING,02/03/2011
33965,FURFURAL,,, 98-01-1,2-Furaldehyde,,SOLVENT,17/11/2016
80723,TETRAHYDROFURFURYL ALCOHOL,,, 97-99-4,Tetrahydrofurfuryl alcohol,CMR 1B - Reg (EU) n. 605/2014 - data of application 1st Jan 2016,"MASKING, SOLVENT",17/11/2016
37445,QUATERNIUM-81,,, 97953-16-7,"9-Octadecenoic acid (Z)-, reaction products with diethylenetriamine, di-Me sulfate-quaternized",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010
85313,BOSWELLIA SERRATA EXTRACT,,, 97952-72-2,"Boswellia Serrata Extract is the extract of the whole plant, Boswellia serrata, Burseraceae",,SKIN CONDITIONING,15/10/2010
74715,BOSWELLIA SERRATA GUM,,, 97952-72-2,"Boswellia Serrata Gum is the bark exudate of the Boswellia serrata, Burseraceae",,"FILM FORMING, MASKING, PERFUMING, SKIN CONDITIONING, TONIC",15/10/2010
83879,BOSWELLIA SERRATA GUM EXTRACT,,, 97952-72-2,"Boswellia Serrata Gum Extract is the extract of the gum of the Boswellia serrata, Burseraceae",,"HAIR CONDITIONING, NAIL CONDITIONING, SKIN CONDITIONING",15/10/2010
54941,BOSWELLIA SERRATA LEAF CELL EXTRACT,,, 97952-72-2,"Boswellia Serrata Leaf Cell Extract is the extract of a culture of the leave cells of Boswellia serrata, Burseraceae",,"MASKING, SKIN PROTECTING",15/10/2010
54942,BOSWELLIA SERRATA OIL,,, 97952-72-2,"Boswellia Serrata Oil is the oil obtained from Boswellia serrata, Burseraceae",,"MASKING, SKIN CONDITIONING",15/10/2010
54943,BOSWELLIA SERRATA RESIN EXTRACT,,, 97952-72-2,"Boswellia Serrata Resin Extract is an extract of the resin of Boswellia serrata, Burseraceae",,"SMOOTHING, TONIC",15/10/2010
54944,BOSWELLIA SERRATA WATER,,, 97952-72-2,"Boswellia Serrata Water is an aqueous solution of the steam distillate obtained from the olibanum Boswellia serrata, Burseraceae",,SKIN CONDITIONING,15/10/2010
40988,SALVIA OFFICINALIS LAVANDULIFOLIA HERB EXTRACT,,, 97952-71-1,"Salvia Officinalis Lavandulifolia Herb Extract is an extract obtained from the herbs of the Sage, Salvia officinalis L. spp. lavandulifolia, Lamiaceae",,PERFUMING,02/03/2011
41084,SALVIA OFFICINALIS LAVANDULIFOLIA HERB OIL,,, 97952-71-1,"Salvia Officinalis Lavandulifolia Herb Oil is an essential oil obtained from the herbs of the Sage, Salvia officinalis L. spp. lavandulifolia, Lamiaceae, Syn. Dalmatian sage",,PERFUMING,02/03/2011
33335,DIHYDROGENATED TALLOW BENZYLMONIUM HECTORITE,,, 97952-68-6,"Quaternary ammonium compounds, benzylbis(hydrogenated tallow alkyl)methyl, salts with montmorillonite",,"ANTISTATIC, GEL FORMING, VISCOSITY CONTROLLING",15/10/2010
56891,MONARDA FISTULOSA,,, 97952-61-9,"Monarda Fistulosa is the product obtained from the dried, cut herb, Monarda fistulosa L., Labiatae",,SKIN CONDITIONING,15/10/2010
39832,2-ETHYLBUTANOL,,, 97-95-0,2-Ethylbutan-1-ol,,PERFUMING,02/03/2011
85285,ZANTHOXYLUM SCHINIFOLIUM LEAF EXTRACT,,, 97927-05-4,"Zanthoxylum Schinifolium Leaf Extract is the extract of the leaves of Zanthoxylum schinifolium, Rutaceae",,SKIN CONDITIONING,15/10/2010
41278,VALERIANA OFFICINALIS COLLINA ROOT EXTRAXT,,, 97927-02-1,"Valeriana Officinalis Collina Root Extract is an extract obtained from the root of the Valerian, Valeriana officinalis L. collina, Valerianaceae. Syn. Valerian root",,PERFUMING,02/03/2011
82433,VALERIANA OFFICINALIS ROOT OIL,,, 97927-02-1,"""Valerian oil"". Valeriana Officinalis Root Oil is the volatile oil obtained from the root of the Valerian, Valeriana officinalis collina, Valerianaceae",,"MASKING, PERFUMING",15/10/2010
79027,PSEUDOTSUGA MENZIESII RESIN,,, 97926-19-7 / 8050-89-3,"Pseudotsuga Menziesii Resin is an oleoresin obtained from the Balsam Oregon, Pseudotsuga menziesii, Pinaceae",,FILM FORMING,08/06/2018
90304,PSEUDOTSUGA MENZIESII BRANCH WATER,,, 97926-19-7,"Pseudotsuga Menziesii (Balsam Oregon) Branch Water is the aqueous solution of the steam distillates obtained the branches of Pseudotsuga menziesii, Pinaceae.",,FLAVOURING,08/06/2018
82904,PSEUDOTSUGA MENZIESII BRANCH/LEAF OIL,,, 97926-19-7,"Pseudotsuga Menziesii Branch/Leaf Oil is the volatile oil obtained from the branches and needles of the Balsam Oregon, Pseudotsuga menziesii, Pinaceae",,PERFUMING,08/06/2018
34878,LAURAMIDE/MYRISTAMIDE DEA,,, 97926-10-8,"Amides, C12-14, N,N-bis(hydroxyethyl)",III/60,"ANTISTATIC, FOAM BOOSTING, SURFACTANT, VISCOSITY CONTROLLING",15/10/2010
88080,GLYCOL DIMETHACRYLATE,,, 97-90-5,Glycol Dimethacrylate is the organic compound,,NAIL CONDITIONING,16/05/2014
56346,GLYCOL HEMA-METHACRYLATE,,, 97-90-5,"2-Propenoic acid, 2-methyl-, 1,2-Ethanediyl Ester",,FILM FORMING,15/10/2010
39361,CITRONELLYL ISOBUTYRATE,,, 97-89-2,"3,7-Dimethyloct-6-enyl 2-Methylpropanoate",,PERFUMING,02/03/2011
74747,BUTYL METHACRYLATE,,, 97-88-1,Butyl methacrylate,,"FILM FORMING, MASKING, VISCOSITY CONTROLLING",15/10/2010
39142,BUTYL ISOBUTYRATE,,, 97-87-0,Butyl 2-methylpropionate,,PERFUMING,02/03/2011
56789,ISOBUTYL METHACRYLATE,,, 97-86-9,"2-Propenoic Acid, 2- Methyl-, 2-Methylpropyl Ester",,FILM FORMING,15/10/2010
40341,ISOBUTYL ISOBUTYRATE,,, 97-85-8,2-Methylpropyl 2-Methylpropanoate,,PERFUMING,02/03/2011
34943,LAUROYL SARCOSINE,,, 97-78-9,N-Lauroylsarcosine,,"ANTISTATIC, CLEANSING, HAIR CONDITIONING, SURFACTANT",15/10/2010
78837,SHELLAC CERA,,, 97766-50-2,Schellac Cera is a waxy fraction of bleached shellac obatined by physical means,,"BINDING, EMOLLIENT, FILM FORMING, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
92463,SHELLAC WAX,,, 97766-50-2,Shellac Cera (EU),,"BINDING, HAIR CONDITIONING, SKIN CONDITIONING",30/11/2015
60008,SYZYGIUM JAMBOS LEAF EXTRACT,,, 97766-45-5,"Syzygium Jambos Leaf Extract is an extract of the leaves of the Syzygium jambos, Myrtaceae",,SKIN CONDITIONING,15/10/2010
80512,SWERTIA CHIRATA EXTRACT,,, 97766-44-4,"Swertia Chirata Extract is the extract of the whole plant of the Indian Chiretta, Swertia chirata, Gentianaceae",,HUMECTANT,15/10/2010
84267,SWERTIA CHIRATA LEAF EXTRACT,,, 97766-44-4,"Swertia Chirata Leaf Extract is the extract of the leaves of the Indian Chiretta, Swertia chirata, Gentianaceae",,ASTRINGENT,15/10/2010
58514,SHRIMP EXTRACT,,, 97766-35-3,Shrimp Extract is an extract of various species of shrimp,,SKIN CONDITIONING,15/10/2010
41417,CITRUS SINENSIS PEEL EXTRACT,,, 97766-30-8 / 8028-48-6,"Citrus Sinensis peel Extract is an extract obtained from the fresh epicarps of the Sweet Orange Valencia, Citrus sinensis (syn: Citrus aurantium dulcis), Rutaceae",,PERFUMING,02/03/2011
41418,CITRUS SINENSIS PEEL OIL EXPRESSED,,, 97766-30-8 / 8028-48-6,"""Orange oil; Sweet orange oil"". Citrus Sinensis peel Oil Expressed is an essential oil expressed from fresh the epicarps of the Sweet Orange Valencia, Citrus sinensis (syn: Citrus aurantium dulcis), Rutaceae",,PERFUMING,02/03/2011
84841,CITRUS AURANTIUM SINENSIS FIBER,,, 97766-30-8,"Citrus Aurantium Sinensis Fiber is the fiber obtained from the pulp of Sweet Orange Valencia, Citrus aurantium sinensis (L.), Rutaceae",,EMULSION STABILISING,15/10/2010
55367,CITRUS AURANTIUM SINENSIS PEEL EXTRACT,,, 97766-30-8,"Citrus Aurantium Sinensis Peel Extract is the extract of the peel of the Sweet Orange Valencia, Citrus aurantium sinenesis, Rutaceae",,SKIN CONDITIONING,15/10/2010
87974,CITRUS SINENSIS FRUIT WATER,,, 97766-30-8,"Citrus Sinensis (Orange) Fruit Water is an aqueous solution of the steam distillate obtained from the orange, Citrus sinensis (L.), Rutaceae",,MASKING,09/12/2010
41419,CITRUS SINENSIS VALENCIA PEEL EXTRACT,,, 97766-30-8,"Citrus Sinensis Valencia Peel Extract is an extract obtained from the epicarps of the Sweet Orange Valencia, Citrus sinensis var. valencia, Rutaceae",,PERFUMING,02/03/2011
41420,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,,, 97766-30-8,"Citrus Sinensis Valencia Peel oil Expressed is an essential oil expressed from the epicarps of the Sweet Orange Valencia, Citrus sinensis, Rutaceae",,PERFUMING,02/03/2011
56246,FAGUS CRENATA BARK,,, 97765-59-8,"Fagus Crenata Bark is the plant material obtained from the dried, cut bark of the Beech, Fagus crenata, Fagaceae",,SKIN CONDITIONING,15/10/2010
57066,LAVANDULA SPICA FLOWER OIL,,, 97722-12-8,"Lavandula Spica Flower Oil is the volatile oil obtained from the flowers of the Spikenard, Lavandula spica, Labiatae",,MASKING,15/10/2010
