COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
57992,PEG-3 METHYL ETHER,,, 9004-74-4,"Poly(oxy-1,2-ethanediyl), .alpha.-methyl-.omega.-hydroxy- (3 mol EO average molar ratio)",,"HUMECTANT, SOLVENT",15/10/2010
58150,PEG-4 METHYL ETHER,,, 9004-74-4,"Poly(oxy-1,2-ethanediyl), .alpha.-methyl-.omega.-hydroxy- (4 mol EO average molar ratio)",,"HUMECTANT, SOLVENT",15/10/2010
77205,PEG-6 METHYL ETHER,polyethylene glycol monomethyl ether,, 9004-74-4,"Poly(oxy-1,2-ethanediyl), .alpha.-methyl-.omega.-hydroxy- (6 mol EO average molar ratio)",,SOLVENT,15/10/2010
57281,PEG-7 METHYL ETHER,,, 9004-74-4,"Poly(oxy-1,2-ethanediyl), .alpha.-methyl-.omega.-hydroxy- (7 mol EO average molar ratio)",,SOLVENT,15/10/2010
35258,METHICONE,,, 9004-73-3,Poly[oxy(methylsilylene)],,"ANTISTATIC, EMOLLIENT, SKIN CONDITIONING",15/10/2010
35506,NITROCELLULOSE,pyroxylin,, 9004-70-0,"Cellulose, nitrate",,FILM FORMING,15/10/2010
35332,METHYLCELLULOSE,methylcellulose,methylcellulosum, 9004-67-5,"Cellulose, methyl ether",,"BINDING, EMULSION STABILISING, STABILISING, VISCOSITY CONTROLLING",15/10/2010
34537,HYDROXYPROPYL METHYLCELLULOSE,hydroxypropyl methylcellulose,methylhydroxypropylcellulosum, 9004-65-3,"Cellulose, 2-hydroxypropyl methyl ether",,"ANTISTATIC, BINDING, EMULSION STABILISING, FILM FORMING, SURFACTANT, VISCOSITY CONTROLLING",15/10/2010
34539,HYDROXYPROPYLCELLULOSE,hydroxypropyl cellulose,hydroxypropylcellulosum, 9004-64-2,"Cellulose, 2-hydroxypropyl ether",,"BINDING, EMULSIFYING, EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING",15/10/2010
82436,LARIX SIBIRICA WOOD EXTRACT,,, 90046-20-1,"Larix Sibirica Wood Extract is the extract of the wood of Larix sibirica, Pinaceae",,"ANTIDANDRUFF, ANTIMICROBIAL, ANTIOXIDANT, SKIN PROTECTING",15/10/2010
76845,HYDROXYETHYLCELLULOSE,hyetellose,, 9004-62-0,"Cellulose, 2-hydroxyethyl ether",,"BINDING, EMULSION STABILISING, FILM FORMING, STABILISING, VISCOSITY CONTROLLING",15/10/2010
88324,LARIX DECIDUA FLOWER EXTRACT,,, 90046-19-8,"Larix Decidua Flower Extract is the extract of the flowers of Larix decidua, Pinaceae",,"SKIN CONDITIONING, SKIN PROTECTING",02/12/2011
86843,LARIX DECIDUA LEAF CELL EXTRACT,,, 90046-19-8,"Larix Decidua Leaf Cell Extract is the extract of a culture of the leaf cells of Larix decidua, Pinaceae",,"ANTIOXIDANT, SKIN PROTECTING",15/10/2010
34315,HYALURONIC ACID,hyaluronic acid,, 9004-61-9,Hyaluronic acid,,"ANTISTATIC, HUMECTANT, MOISTURISING, SKIN CONDITIONING",15/10/2010
58169,LAPSANA COMMUNIS FLOWER/LEAF/STEM EXTRACT,,, 90046-18-7,"Lapsana Communis Flower/Leaf/Stem Extract is an extract of the flowers, leaves and stems of Lapsana communis L., Asteraceae",,SKIN CONDITIONING,15/10/2010
82254,LANTANA CAMARA FLOWER/LEAF/STEM EXTRACT,,, 90046-17-6,"Lantana Camara Flower/Leaf/Stem Extract is the extract obtained from the flowers, leaves and stems of the Wild Sage, Lantana camara L., Verbenaceae",,EMOLLIENT,15/10/2010
